nome_planta
Ampelopsis acutidentata
Ampelosicyos major
Ampelosycios meridionalis
Ampelozizyphus guaquirensis
Amperea micrantha
Amphiasma merenskyanum
Amphiblemma amoenum
Amphibolia obscura
Amphibolis antarctica
Amphibromus macrorhinus
Amphicephalozia africana
Amphidasya amethystina
Amphidium asiaticum
Amphiglossa callunoides
Amphilophium aschersonii
Amphimas pterocarpoides
Amphipetalum paraguayense
Amphiphyllum rigidum
Amphirrhox grandifolia
Amphistemon humbertii
Amphitecna breedlovei
Amphithalea axillaris
Amphoricarpos exsul
Amphorocalyx auratifolius
Amphorogyne celastroides
Amsinckia carinata
Amsonia ciliata
Amyema arthrocaulis
Amylotheca acuminatifolia
Amyrea eucleoides
Amyris abeggii
Anabasis al-rawii
Anacampseros albidiflora
Anacamptiplatanthera payotii
Anacamptodon africanus
Anacardium amapaense
Anacolosa casearioides
Anacyclus anatolicus
Anadelphia bigeniculata
Anadendrum affine
Anakasia simplicifolia
Anaphalioides trinerve
Anaphalis alpicola
Anaphyllopsis cururuana
Anaphyllum beddomei
Anarrhinum forsskaolii
Anarthria humilis
Anarthrophyllum burkartii
Anaschisma charrua
Anastraphia crebribracteata
Anastrophyllum astorgae
Anathallis amazonica
Anaxagorea allenii
Anaxeton angustifolium
Anchietea ballardii
Anchomanes abbreviatus
Anchusa cespitosa
Ancistrocarphus filagineus
Ancistrocarpus bequaertii
Ancistrocarya japonica
Ancistrocladus attenuatus
Ancistrorhynchus akeassiae
Ancistrothyrsus hirtellus
Ancistrotropis serrana
Ancylotropis malmeana
Anderbergia elsiae
Andersonia annelsii
Andinia barbacaprina
Andira carvalhoi
Andrachne afghanica
Andreaea amblyophylla
Andreaeobryum macrosporum
Andrewsianthus carinatus
Androcalva adenothalia
Androcalymma glabrifolium
Andrographis chendurunii
Androlepis fragrans
Andropogon aequatoriensis
Androsace adenocephala
Androtium astylum
Androya decaryi
Andryala atlanticola
Aneilema angolense
Anemia antrorsa
Anemone airei
Anemonoides jenisejensis
Anemopaegma acutifolium
Anemotrochus yamanigueyensis
Anerincleistus barbatus
Anetanthus disjunctus
Anethum theurkauffii
Aneulophus congoensis
Aneura amboinensis
Angeldiazia weigendii
Angelica adzharica
Angelonia acuminatissima
Angianthus acrohyalinus
Anginon intermedium
Angiopteris boninensis
Angolaea fluitans
Angophora clelandii
Angostura alipes
Angostylis longifolia
Angraecopsis cryptantha
Angraecum baiderae
Anguloa acostae
Angylocalyx boutiqueanus
Aniba burchellii
Anigozanthos gabrielae
Anisacanthus grace-woodiae
Aniseia harmandii
Anisochaeta mikanioides
Anisocycla blepharosepala
Anisodontea pseudocapensis
Anisomeles brevipilosa
Anisomeria densiflora
Anisopappus athanasioides
Anisophyllea apetala
Anisopoda bupleuroides
Anisoptera curtisii
Anisosepalum lewallei
Anisostachya aequiloba
Anisotes bracteatus
Anisothecium brachydontium
Anisotoma pedunculata
Anisotome cauticola
Anna rubidiflora
Annamocalamus kontumensis
Annesijoa novoguineensis
Anneslea paradoxa
Annesorhiza altiscapa
Annona angustifolia
Anoda albiflora
Anodendron howii
Anoectangium afrocompactum
Anoectochilus albomarginatus
Anogramma reichsteinii
Anomobryum angustirete
Anomochloa marantoidea
Anomodon dentatus
Anomospermum chloranthum
Anonidium floribundum
Anoplocaryum helenae
Anopterus glandulosus
Antennaria alsinoides
Anthaenantiopsis rojasiana
Anthelepis clarksonii
Anthemimatricaria inolens
Anthemis aaronsohnii
Anthenantia rufa
Anthephora ampullacea
Anthericum confusum
Antheroporum banaense
Antherostele callophylla
Anthobolus erythrocaulis
Anthocercis fasciculata
Anthoceros aethyopicus
Anthochlamys multinervis
Anthochortus capensis
Anthocleista inermis
Anthodiscus chocoensis
Anthonotha mouandzae
Anthopteropsis insignis
Anthopterus ecuadorensis
Anthorrhiza areolata
Anthospermum ammannioides
Anthostema aubryanum
Anthotium odontophyllum
Anthotroche myoporoides
Anthoxanthum aethiopicum
Anthriscus glacialis
Anthurium abajoense
Anthyllis apennina
Antiaropsis decipiens
Anticharis angolensis
Anticoryne melanosperma
Antidaphne amazonensis
Antidesma ambiguum
Antigonon flavescens
Antimima aurasensis
Antiphytum hintoniorum
Antirhea madagascariensis
Antirrhinum bilbilitanum
Antistrophe caudata
Antrocaryon schorkopfii
Antrophyum austroqueenslandicum
Anubias afzelii
Anulocaulis reflexus
Aongstroemia appressa
Aosa sigmoidea
Aotus cordifolia
Apacheria chiricahuensis
Apatesia pillansii
Apatophyllum constablei
Apeiba intermedia
Apera baytopiana
Aphanactis antisanensis
Aphananthe sakalava
Aphanisma blitoides
Aphanocalyx cynometroides
Aphanolejeunea lancifera
Aphanopetalum resinosum
Aphanopleura zangelanica
Aphanostephus jaliscensis
Aphanotropis saxicola
Aphelandra acrensis
Aphragmus bouffordii
Aphyllocladus decussatus
Aphyllodium beardii
Aphyllorchis angustipetala
Apinagia aripecuruensis
Apios delavayi
Apium annuum
Aplanodes doidgeana
Apocaulon carnosum
Apocopis anomalus
Apodanthera biflora
Apodasmia ceramophila
Apodiscus chevalieri
Apodocephala begueana
Apodolirion amyanum
Apodytes abbottii
Aponogeton appendiculatus
Apoplanesia cryptopetala
Apopyros warmingii
Aporepiphyllum freiburgensis
Aporoheliocereus smithianus
Aporophyllum frieburgensis
Aporosa alia
Aporrhiza lastoursvillensis
Apostasia fogangica
Apostates rapae
Apowollastonia stirlingii
Appendicula adnata
Appertiella hexandra
Appunia megalantha
Apterosperma oblata
Aptosimum albomarginatum
Aptychella formosana
Aptychopsis crosbyi
Aquilaria baillonii
Aquilegia amaliae
Arabidella chrysodema
Arabis abietina
Aracamunia liesneri
Arachis appressipila
Arachniodes breviaristata
Arachnis grandisepala
Arachnothryx angustispica
Araeococcus flagellifolius
Aragoa abscondita
Aralia apioides
Araracuara vetusta
Araucaria goroensis
Araujia plumosa
Arberella bahiensis
Arbutus androsterilis
Arcangelisia gusanlung
Arceuthobium abietis-religiosae
Archeria combrei
Archiatriplex nanpinensis
Archibaccharis almedana
Archidendron arunachalense
Archidium acanthophyllum
Archigrammitis solomonensis
Archilejeunea bongardii
Archivea kewensis
Archontophoenix maxima
Arcoa gonavensis
Arctium alberti
Arctomecon californicum
Arctopoa petrovskyi
Arctopus dregei
Arctoscyphus ronsmithii
Arctostaphylos bolensis
Arctotheca marginata
Arctotis crispata
Arcuatopterus linearifolius
Arcytophyllum aristatum
Ardisia aciphylla
Ardisiandra primuloides
Areca abdulrahmanii
Arenaria aksayqingensis
Arenga distincta
Arenifera kuntzei
Argemone aenea
Argentina adulterina
Argocoffeopsis kivuensis
Argomuellera basicordata
Argophyllum brevipetalum
Argostemma acuminatissimum
Argylia bifrons
Argyranthemum haouarytheum
Argyrautia degeneri
Argyreia arakuensis
Argyrella richardsiae
Argyrochosma limitanea
Argyroderma framesii
Argyrolobium aciculare
Argyroxiphium kauense
Argythamnia argyraea
Aridarum chamaesyce
Ariocarpus drabi
Ariopsis macrosperma
Aripuana cullmaniorum
Arisaema abei
Aristea anceps
Aristeguietia buddleaefolia
Aristida abnormis
Aristogeitonia gabonica
Aristolochia acontophylla
Aristotelia australasica
Armatocereus riomajensis
Armeria aspromontana
Arnaldoa argentea
Arnebia bhattacharyyae
Arnica attenuata
Arnicastrum glandulosum
Arnocrinum gracillimum
Arnoglossum album
Arophyton buchetii
Arpophyllum giganteum
Arracacia chiapensis
Arrhenatherum calderae
Arrhenechthites dolichophylla
Arrojadoa luetzelburgioides
Arrojadocharis santosii
Artabotrys aeneus
Artanema bantamense
Artemisia abaensis
Arthraxon antsirabensis
Arthrocereus rondonianus
Arthrochilus apectus
Arthroclianthus deplanchei
Arthrocnemum ciliolatum
Arthrophytum korovinii
Arthropodium bifurcatum
Arthropogon filifolius
Arthropteris neocaledonica
Arthrostemma primaevum
Arthrostylidium auriculatum
Artia amieuensis
Artocarpus albobrunneus
Arum creticum
Aruncus parvulus
Arundinaria acerba
Arundinella barbinodis
Arundoclaytonia jauensis
Arvernella microclada
Arytera bifoliata
Asarum ampulliflorum
Ascarina diffusa
Aschersoniodoxa pilosa
Aschisma kansanum
Aschistanthera cristanthera
Asciadium coronopifolium
Ascidiogyne sanchezvegae
Asclepias apocynifolia
Ascogrammitis lehnertii
Asemeia glabra
Ashtonia praeterita
Asimina bethanyensis
Askidiosperma delicatulum
Aspalathus acanthiloba
Asparagus altiscandens
Aspasia omissa
Asperifolia indosinica
Asperula ambleia
Asphodeline anatolica
Asphodelus bento-rainhae
Aspicarpa steinmannii
Aspidistra acetabuliformis
Aspidocarya uvifera
Aspidoglossum albocoronatum
Aspidonepsis shebae
Aspidopterys albomarginata
Aspidosperma araracanga
Aspidostemon andohahelensis
Aspilia albuquerquei
Asplenium achalense
Asplundia ahlneri
Asplundianthus pseudostuebelii
Astartea cicatricosa
Astelia argyrocoma
Astephanus triflorus
Aster aitchisonii
Asteranthe lutea
Asterella limbata
Asteridea archeri
Asteriscium famatinense
Asterochaete borbonica
Asterogyne guianensis
Asterohyptis nayarana
Asterolasia beckersii
Asteromyrtus tranganensis
Asteropeia mcphersonii
Asterostemma repandum
Asterostigma cryptostylum
Asterothamnus centrali-asiaticus
Astiella antsalovansis
Astilbe amabilis
Astomiopsis altivallis
Astraea manihot
Astragalus aaronsohnianus
Astranthium beamanii
Astrantia colchica
Astrebla squarrosa
Astridia dulcis
Astrocaryum arenarium
Astrocasia diegoae
Astrococcus cornutus
Astrolepis cochisensis
Astroloba cremnophila
Astronia apoensis
Astronidium angulosum
Astronium gardneri
Astrotricha brachyandra
Astrotrichilia diegoensis
Astroworthia bicarinata
Astus duomilius
Asyneuma babadaghense
Asystasia ammophila
Atalantia citroides
Atalaya brevialata
Ateleia albolutescens
Athalamia dioica
Athamanta cortiana
Athanasia bremeri
Athenaea altoserranae
Atherosperma dilatatum
Athrixia arachnoidea
Athroisma fanshawei
Athyrium acutipinnulum
Atractantha aureolanata
Atractocarpus aragoensis
Atractylis aristata
Atractylodes amurensis
Atraphaxis aucheri
Atrichopsis tetragona
Atrichum laoshanense
Atriplex abata
Atrostemma acutissimum
Atroxima liberica
Attalea barreirensis
Attilaea abalak
Atuna cordata
Aubrevillea platicarpa
Aubrieta albanica
Aucoumea klaineana
Aucuba albopunctifolia
Auerodendron glaucescens
Augouardia letestui
Aulacocalyx camerooniana
Aulacomnium arenopaludosum
Aulacospermum gonocaulum
Aulandra cauliflora
Aulax pallasia
Aulonemia bogotensis
Aulonemiella laegaardii
Aulotandra trigonocarpa
Auranticarpa edentata
Australina pusilla
Australopyrum uncinatum
Austrobaeckea columnaris
Austroblechnum bullatum
Austrobryonia argillicola
Austrobuxus brevipes
Austrocactus aonikenkensis
Austrochthamalia teyucuarensis
Austroeupatorium albescens
Austrofossombronia marionensis
Austroliabum candidum
Austrolophozia andina
Austromatthaea elegans
Austromuellera trinervia
Austronea pygmaea
Austroriella salta
Austrosteenisia glabristyla
Austrostipa anaiwaniorum
Austrotaxus spicata
Autumnalia botschantzevii
Auxopus letouzeyi
Avellanita bustillosii
Avena agadiriana
Averrhoa dolichocarpa
Averrhoidium dalyi
Avicennia balanophora
Axinaea campii
Axinandra zeylanica
Axiniphyllum corymbosum
Axonopus amapaensis
Axyris koreana
Ayapana haughtii
Ayapanopsis adenophora
Ayenia aemulata
Aynia pseudascaricida
Azara dentata
Azolla nilotica
Azorella crassipes
Aztekium valdezii
Babiana arenicola
Babingtonia cherticola
Baccaurea airyshawii
Baccharis alamosana
Baccharoides ballyi
Backhousia bancroftii
Bacopa bracteolata
Bactris acanthocarpa
Badiera subrhombifolia
Badilloa guantivana
Badula barthesia
Badusa palauensis
Baeckea kandos
Baeriopsis guadalupensis
Bafutia tenuicaulis
Bahiella infundibuliflora
Baikiaea ghesquiereana
Baileya pauciradiata
Baileyoxylon lanceolatum
Baimashania pulvinata
Baissea erythrosticha
Bajacalia moranii
Bakerantha hidalguensis
Bakerella ambongoensis
Bakeridesia amoena
Balaka siliensis
Balanites aegyptiacus
Balanophora aphylla
Balanops microstachya
Balantiopsis ciliaris
Balaustion baiocalyx
Balbisia integrifolia
Baliospermum bilobatum
Ballochia rotundifolia
Ballota andreuzziana
Balmea stormiae
Baloghia anisomera
Balsamocitrus camerunensis
Balsamorhiza bonseri
Bambusa alemtemshii
Bampsia lawalreana
Banara axilliflora
Banisteriopsis basifixa
Banksia aculeata
Baphia abyssinica
Baptisia arachnifera
Barbacenia blanchetii
Barbaceniopsis humahuaquensis
Barbarea bosniaca
Barbella biformis
Barbosella circinata
Barbula altipapillosa
Barclaya panchorensis
Bardotia ankaranensis
Barfussia robusta
Barjonia cymosa
Barkeria archilarum
Barleria albostellata
Barnadesia blakeana
Barnebya harleyi
Barongia lophandra
Baroniella capillacea
Barringtonia ashtonii
Barroetea sessilifolia
Barrosoa atlantica
Barteria solida
Bartholomaea mollis
Bartlettia scaposa
Bartlettina chiriquensis
Bartramia alaris
Basananthe aristolochioides
Basella leandriana
Baseonema gregorii
Bashania fansipanensis
Basistemon argutus
Baskervilla assurgens
Basselinia favieri
Bassia aegyptiaca
Bastardiastrum batesii
Batemannia wolteriana
Batesanthus parviflorus
Batesimalva killipii
Bathiorhamnus capuronii
Bathysa gymnocarpa
Bathysanthus sinforosa
Batopedina pulvinellata
Batopilasia byei
Baudouinia louvelii
Bauera sessiliflora
Bauhinia amatlana
Baynesia lophophora
Bazzania acanonista
Beaucarnea compacta
Beaumontia brevituba
Beauprea congesta
Beccarianthus ickisii
Beccarinda erythrotricha
Beccariophoenix alfredii
Bechium pellegrinii
Bedfordia arborescens
Beesia deltophylla
Begonia abdullahpieei
Beguea ankeranensis
Beilschmiedia ambigua
Beiselia mexicana
Bejaria cubensis
Belemia fucsioides
Bellardiochloa doganiana
Bellendena montana
Bellevalia assadii
Bellis caerulescens
Belloa wurdackiana
Bellonia spinosa
Bellucia acutata
Beloglottis garayana
Belonophora coffeoides
Bemangidia frankliniae
Bencomia brachystachya
Benitotania elimbata
Bennettiodendron cordatum
Benoistia orientalis
Bensteinia ramonensis
Benstonea fortuita
Benthamia arenaria
Benthamiella azorelloides
Bentinckia condapanna
Bentleya diminuta
Benzingia elvirae
Benzonia corymbosa
Berberidopsis corallina
Berberis acutinervia
Berchemia annamensis
Berchemiella yunnanensis
Berenice arguta
Bergenia emeiensis
Bergera unifolia
Bergeranthus addoensis
Bergia anagalloides
Berhautia senegalensis
Berkheya afra
Berlinia confusa
Bernardia alarici
Bernoullia flammea
Berrya pacifica
Bersama palustris
Berteroa physocarpa
Bertiera aequatorialis
Bertolonia bullata
Bertya calycina
Beruladium procurrens
Berylsimpsonia vanillosma
Berzelia alopecurioides
Beschorneria dubia
Besleria amicitia
Bessera tuitensis
Beta macrorhiza
Betula apoiensis
Beyeria cockertonii
Bhesa andamanica
Bhidea borii
Bia capivarensis
Biancaea scabrida
Biarum aleppicum
Bidayuha crassispatha
Bidens acuticaulis
Bidoupia khangii
Biebersteinia heterostemon
Bienertia cycloptera
Biermannia arunachalensis
Bifrenaria diamantinensis
Bignonia cararensis
Bikinia aciculifera
Bikkia bridgeana
Billardiera mutabilis
Billbergia alfonsi-joannis
Billburttia capensoides
Billolivia cadamensis
Biophytum adiantoides
Bipinnula gabriel
Biscutella alcarriae
Bisgoeppertia robustior
Bishopalea erecta
Bishopanthus soliceps
Bistorta emodi
Bituminaria basaltica
Blachia chunii
Blainvillea cunninghamii
Blakea allotricha
Blanchetia heterotricha
Blastemanthus grandiflorus
Blastus auriculatus
Blechnum areolatum
Blennosperma bakeri
Blennospora doliiformis
Blepharandra cachimbensis
Blepharidachne hitchcockii
Blepharis aequisepala
Blepharispermum arcuatum
Blepharocalyx spirioides
Blepharocarya depauperata
Blepharodon bifidus
Blepharolejeunea chimantaensis
